W. S. M. Werner, K. Glantschnig, C. Ambrosch-Draxl. Optical constants and inelastic electron-scattering data for 17 elemental metals, J. Phys Chem Ref. Data 38, 1013-1092 (2009)
wl,n,k,eps_re,eps_im
0.017586,0.8862,0.132,0.76792644,0.2339568
0.017712,0.8865,0.1337,0.76800656,0.2370501
0.017839,0.8868,0.1359,0.76794543,0.24103224
0.017969,0.8865,0.1376,0.76694849,0.2439648
0.0181,0.8869,0.1398,0.76704757,0.24797724
0.018233,0.8872,0.142,0.76695984,0.2519648
0.018368,0.8875,0.1437,0.76700656,0.2550675
0.018505,0.8878,0.1459,0.76690203,0.25906004
0.018644,0.8881,0.1475,0.76696536,0.2619895
0.018785,0.8885,0.1497,0.76702216,0.2660169
0.018929,0.8888,0.1513,0.76707375,0.26895088
0.019074,0.8891,0.1535,0.76693656,0.2729537
0.019222,0.8894,0.1552,0.76694532,0.27606976
0.019373,0.8897,0.1568,0.76697985,0.27900992
0.019525,0.89,0.1584,0.76700944,0.281952
0.01968,0.8904,0.1606,0.7670198,0.28599648
0.019837,0.8907,0.1622,0.76703765,0.28894308
0.019997,0.8904,0.164,0.76591616,0.2920512
0.02016,0.8907,0.1656,0.76592313,0.29499984
0.020325,0.891,0.1672,0.76592516,0.2979504
0.020493,0.8914,0.1688,0.76610052,0.30093664
0.020664,0.8917,0.1705,0.76605864,0.3040697
0.020838,0.892,0.1721,0.76604559,0.3070264
0.021014,0.8917,0.1738,0.76492245,0.30995492
0.021194,0.892,0.1749,0.76507399,0.3120216
0.021377,0.8917,0.1766,0.76394133,0.31494844
0.021562,0.8915,0.1783,0.76298136,0.3179089
0.021752,0.8912,0.1795,0.76201719,0.3199408
0.021944,0.891,0.1813,0.76101131,0.3230766
0.02214,0.8907,0.1824,0.76007673,0.32492736
0.022339,0.8905,0.1842,0.75906061,0.3280602
0.022543,0.8897,0.186,0.75697009,0.3309684
0.022749,0.8894,0.1872,0.75598852,0.33299136
0.02296,0.8887,0.189,0.75406669,0.3359286
0.023175,0.8879,0.1909,0.7519236,0.33900022
0.023393,0.8867,0.1929,0.74902648,0.34208886
0.023616,0.8858,0.1942,0.746928,0.34404472
0.023843,0.8846,0.1961,0.74406195,0.34694012
0.024075,0.8834,0.1987,0.74091387,0.35106316
0.024311,0.8822,0.2006,0.73803648,0.35393864
0.024551,0.8804,0.2027,0.73401687,0.35691416
0.024797,0.8787,0.2054,0.72992453,0.36096996
0.025047,0.8771,0.2081,0.7259988,0.36504902
0.025303,0.8755,0.2107,0.72210576,0.3689357
0.025564,0.8738,0.2134,0.71798688,0.37293784
0.02583,0.8718,0.2168,0.713033,0.37801248
0.026102,0.8698,0.2202,0.708064,0.38305992
0.02638,0.8673,0.2242,0.70194365,0.38889732
0.026663,0.8655,0.2282,0.69701501,0.3950142
0.026953,0.8631,0.2323,0.69097832,0.40099626
0.027249,0.8614,0.2368,0.68593572,0.40795904
0.027552,0.8594,0.242,0.68000436,0.4159496
0.027862,0.8574,0.2473,0.67397747,0.42407004
0.028178,0.8556,0.253,0.66804236,0.4329336
0.028502,0.8545,0.2592,0.66298561,0.4429728
0.028834,0.8535,0.2654,0.65802509,0.4530378
0.029173,0.8525,0.2716,0.65298969,0.463078
0.02952,0.8523,0.2781,0.64907568,0.47404926
0.029876,0.8521,0.2846,0.64507725,0.48501532
0.03024,0.8531,0.2913,0.64292392,0.49701606
0.030613,0.8536,0.2976,0.6400672,0.50806272
0.030996,0.855,0.3035,0.63891275,0.518985
0.031388,0.8566,0.3094,0.6380352,0.53006408
0.031791,0.8583,0.314,0.63808289,0.5390124
0.032204,0.8598,0.3181,0.63806843,0.54700476
0.032627,0.8606,0.3219,0.63701275,0.55405428
0.033062,0.8607,0.3253,0.6349844,0.55997142
0.033509,0.8602,0.3284,0.63209748,0.56497936
0.033968,0.8584,0.3314,0.6270246,0.56894752
0.03444,0.8551,0.335,0.61897101,0.572917
0.034925,0.8509,0.3391,0.609042,0.57708038
0.035424,0.8458,0.3441,0.59697283,0.58207956
0.035937,0.8394,0.3502,0.58195232,0.58791576
0.036466,0.832,0.3582,0.56391676,0.5960448
0.03701,0.8233,0.3686,0.54195693,0.60693676
0.037571,0.8147,0.3817,0.5180412,0.62194198
0.038149,0.8067,0.3985,0.49196264,0.6429399
0.038745,0.7992,0.4192,0.462992,0.67004928
0.03936,0.7946,0.4443,0.43398667,0.70608156
0.039995,0.7952,0.4747,0.40700295,0.75496288
0.040651,0.8046,0.5083,0.38901227,0.81795636
0.041328,0.8268,0.5418,0.390051,0.89592048
0.042029,0.8634,0.5652,0.42600852,0.97598736
0.042753,0.9062,0.5694,0.49698208,1.03198056
0.043503,0.9419,0.5515,0.58302336,1.0389157
0.04428,0.9581,0.5224,0.64505385,1.00102288
0.045085,0.9541,0.4952,0.66508377,0.94494064
0.04592,0.9375,0.4784,0.65003969,0.897
0.046786,0.9149,0.4722,0.61406917,0.86403156
0.047686,0.8906,0.4755,0.56706811,0.8469606
0.048621,0.8667,0.4869,0.51409728,0.84399246
0.049594,0.8434,0.5063,0.45498387,0.85402684
0.050606,0.8224,0.5314,0.3939558,0.87404672
0.05166,0.8032,0.564,0.32703424,0.9060096
0.052759,0.7877,0.6037,0.2560176,0.95106898
0.053906,0.7771,0.6518,0.17904117,1.01302756
0.055104,0.774,0.7086,0.09696204,1.0969128
0.056356,0.783,0.7753,0.01199891,1.2141198
0.057667,0.8119,0.8504,-0.06399855,1.38087952
0.05904,0.8715,0.926,-0.09796375,1.614018
0.06048,0.9706,0.9808,-0.01990428,1.90392896
0.061992,1.0948,0.9791,0.23995023,2.14383736
0.063582,1.1896,0.9095,0.58795791,2.1638824
0.065255,1.2164,0.8196,0.8078848,1.99392288
0.067018,1.1943,0.7565,0.85406024,1.8069759
0.06888,1.1566,0.7293,0.80584507,1.68701676
0.070848,1.121,0.7284,0.72607444,1.6330728
0.072932,1.0932,0.7437,0.64199655,1.62602568
0.075142,1.0748,0.7695,0.56306479,1.6541172
0.07749,1.0652,0.8004,0.49401088,1.70517216
0.07999,1.0634,0.8341,0.43509675,1.77396388
0.082656,1.0678,0.8691,0.38486203,1.85604996
0.085506,1.0781,0.903,0.34689061,1.9470486
0.08856,1.0926,0.9358,0.31805312,2.04491016
0.09184,1.1096,0.9666,0.2968966,2.14507872
0.095372,1.1287,0.995,0.28393869,2.246113
0.099187,1.1474,1.0215,0.27306451,2.3441382
0.10332,1.1642,1.0466,0.25999008,2.43690344
0.107812,1.178,1.0722,0.23807116,2.5261032
0.112713,1.1875,1.101,0.19795525,2.614875
0.11808,1.1929,1.1363,0.13183272,2.71098454
0.123984,1.1961,1.1822,0.03305837,2.82805884
0.13051,1.202,1.2429,-0.09999641,2.9879316
0.13776,1.2191,1.3203,-0.25698728,3.21915546
0.145864,1.2599,1.4097,-0.39990608,3.55216206
0.15498,1.3358,1.4938,-0.4470768,3.99083608
0.165312,1.4391,1.5388,-0.29689663,4.42897416
0.17712,1.5217,1.5213,0.0012172,4.62992442
0.190745,1.519,1.4796,0.11814484,4.4950248
0.20664,1.4222,1.5019,-0.23305077,4.27200436
0.225426,1.2959,1.6633,-1.08721008,4.31094094
0.247968,1.2591,1.9812,-2.33982063,4.98905784
0.261019,1.3211,2.1777,-2.99707208,5.75391894
0.27552,1.4641,2.3629,-3.4397076,6.91904378
0.291728,1.6918,2.4761,-3.26888397,8.37813196
0.30996,1.9442,2.436,-2.15418236,9.4721424
0.330625,2.0725,2.2335,-0.693266,9.2578575
0.354241,1.9648,2.0061,-0.16399817,7.88317056
0.38149,1.6513,1.9194,-0.95730467,6.33901044
0.413281,1.2446,2.0722,-2.74498368,5.15812024
0.450852,0.8906,2.4674,-5.2948944,4.39493288
0.495937,0.6607,3.0134,-8.64405507,3.98190676
0.551041,0.5307,3.6538,-13.06861195,3.87814332
0.619921,0.468,4.3982,-19.12513924,4.1167152
0.708481,0.4576,5.2933,-27.80962713,4.84442816
0.826561,0.5009,6.4242,-41.01944483,6.43576356
0.991874,0.6201,7.9404,-62.66542815,9.84768408
1.239842,0.8792,10.1331,-101.906723,17.81804304
1.653123,1.4692,13.659,-184.4097324,40.1356056
2.479684,3.1274,20.3613,-404.8019069,127.3558592
