wl,n,k,eps_re,eps_im
0.25157,1.284522,1.610157,-0.942608796,4.13656418
0.25316,1.287395,1.630462,-1.001020447,4.198097253
0.25475,1.289887,1.656333,-1.079630534,4.272964809
0.25634,1.292111,1.668629,-1.114771903,4.312107772
0.25793,1.297019,1.685505,-1.158668819,4.372264019
0.25953,1.302193,1.702589,-1.203102694,4.434198955
0.26112,1.31281,1.72006,-1.235136308,4.516223937
0.26271,1.317305,1.734038,-1.271595322,4.568513855
0.2643,1.327327,1.749004,-1.297218027,4.643000465
0.26589,1.334944,1.763754,-1.328752689,4.70902564
0.26749,1.343947,1.778991,-1.358615439,4.781739235
0.26908,1.354783,1.792554,-1.377812866,4.857043372
0.27067,1.362943,1.806386,-1.40541676,4.924002308
0.27226,1.374588,1.820418,-1.424429525,5.004649476
0.27386,1.385583,1.832906,-1.439704155,5.079286788
0.27545,1.398511,1.84616,-1.452473728,5.163750136
0.27704,1.411681,1.857638,-1.457975693,5.244784539
0.27863,1.425616,1.86704,-1.453457382,5.323364193
0.28023,1.439553,1.873754,-1.438641213,5.394736384
0.28182,1.451183,1.881683,-1.434798813,5.461332762
0.28341,1.463878,1.886543,-1.416105692,5.523337588
0.285,1.474227,1.892674,-1.408869623,5.580462226
0.2866,1.483892,1.897467,-1.398445548,5.631272203
0.28819,1.497692,1.902358,-1.375884633,5.698292715
0.28978,1.506296,1.904639,-1.358722081,5.737900214
0.29138,1.518303,1.910404,-1.344399443,5.801144249
0.29297,1.522234,1.919999,-1.369199809,5.845375516
0.29456,1.536449,1.918742,-1.320895333,5.896098454
0.29616,1.547837,1.918812,-1.286040113,5.940016419
0.29775,1.557251,1.919889,-1.260943095,5.97949813
0.29934,1.565352,1.921715,-1.242661657,6.016320837
0.30094,1.572529,1.924028,-1.229036289,6.051179654
0.30253,1.579218,1.926624,-1.217950546,6.0851186
0.30412,1.585744,1.929332,-1.207737933,6.118853286
0.30572,1.59223,1.931955,-1.197253749,6.152233419
0.30731,1.598852,1.934368,-1.185451842,6.185536291
0.3089,1.605731,1.936468,-1.171536271,6.218893396
0.3105,1.612809,1.938129,-1.15519115,6.251663789
0.31209,1.620166,1.939298,-1.135938865,6.283969367
0.31369,1.627672,1.939902,-1.11390363,6.315048336
0.31528,1.63531,1.939913,-1.089023651,6.344718256
0.31687,1.643052,1.939302,-1.061272373,6.372748059
0.31847,1.650713,1.938071,-1.031265793,6.398397989
0.32006,1.658294,1.936211,-0.998974046,6.421614168
0.32166,1.665605,1.933763,-0.965199324,6.441770643
0.32325,1.6726,1.930748,-0.93019708,6.45873821
0.32484,1.679229,1.927179,-0.894208864,6.47234973
0.32644,1.685325,1.923149,-0.858181721,6.482262177
0.32803,1.690889,1.91866,-0.822150585,6.488482177
0.32963,1.695786,1.913827,-0.787043628,6.490882066
0.33122,1.700021,1.908655,-0.752892509,6.489507164
0.33282,1.703497,1.903276,-0.720557503,6.484449912
0.33441,1.706225,1.897693,-0.690034972,6.475782478
0.33601,1.708149,1.892048,-0.662072628,6.463799798
0.3376,1.70928,1.886378,-0.63678384,6.448696376
0.33919,1.70962,1.880721,-0.614310935,6.430636472
0.34079,1.709177,1.875218,-0.59515653,6.410158951
0.34238,1.707971,1.869872,-0.57925636,6.387374299
0.34398,1.706049,1.864816,-0.566935523,6.362934944
0.34557,1.703431,1.860049,-0.558105111,6.336930256
0.34717,1.7002,1.85569,-0.552905336,6.310088276
0.34876,1.696375,1.851737,-0.551241777,6.282480707
0.35036,1.692067,1.848286,-0.553070405,6.254847494
0.35195,1.687293,1.845335,-0.558303594,6.227241656
0.35355,1.682184,1.842953,-0.56673275,6.200372099
0.35514,1.676754,1.841133,-0.578266747,6.174254245
0.35674,1.671145,1.839916,-0.592565276,6.149532848
0.35833,1.665364,1.839293,-0.609561487,6.126184695
