G. Rosenblatt, B. Simkhovich, G. Bartal, M. Orenstein. Nonmodal plasmonics: Controlling the forced optical response of nanostructures, Phys. Rev. X 10, 011071 (2020)
wl,n,k,eps_re,eps_im
0.3,1.52117187,1.75745923,-0.774699087,5.346795087
0.31,1.55066387,1.77006023,-0.72855478,5.489536893
0.32,1.57448313,1.77157236,-0.6594715,5.578621589
0.33,1.58651334,1.76165111,-0.586390055,5.589765973
0.34,1.57792913,1.74447473,-0.553331744,5.505314986
0.35,1.54122906,1.73410055,-0.631717702,5.345292321
0.36,1.48458734,1.75500201,-0.876032485,5.210907531
0.37,1.44874801,1.81581109,-1.198299118,5.261305406
0.38,1.4472083,1.86598905,-1.387503271,5.400949682
0.39,1.45133103,1.90142308,-1.509047971,5.519188634
0.4,1.4562703,1.92579496,-1.587963041,5.608956008
0.41,1.4592672,1.94004237,-1.634303636,5.662080394
0.42,1.4578263,1.94445417,-1.655644498,5.669352856
0.43,1.44922823,1.93923277,-1.660361274,5.62078175
0.44,1.43027418,1.92485538,-1.659384004,5.5061419
0.45,1.39711019,1.9024862,-1.667536858,5.315965713
0.46,1.34514953,1.87459945,-1.70469584,5.043233138
0.47,1.26930756,1.84599387,-1.796551686,4.68626795
0.48,1.1651759,1.82522604,-1.973815219,4.253418788
0.49,1.03220199,1.82558818,-2.267331255,3.768751505
0.5,0.878951533,1.86271531,-2.697152529,3.274472955
0.51,0.725605139,1.94564467,-3.259030364,2.823539542
0.52,0.595288685,2.06714343,-3.918713342,2.461094188
0.53,0.49944226,2.20735413,-4.622969684,2.204891871
0.54,0.434514736,2.34772327,-5.323001497,2.040240714
0.55,0.390294919,2.47897507,-5.992987274,1.935062748
0.56,0.358592834,2.59913251,-6.626900984,1.864060585
0.57,0.332634207,2.70324901,-7.196909694,1.798386182
0.58,0.296316627,2.80014954,-7.753033903,1.659461734
0.59,0.254910954,2.90273722,-8.360903774,1.479879028
0.6,0.215794167,3.01283998,-9.030637623,1.300306588
0.61,0.183483261,3.12792013,-9.750218233,1.147841971
0.62,0.159355419,3.24437112,-10.50054981,1.034016238
0.63,0.142676662,3.35929359,-11.26449679,0.958585592
0.64,0.131807702,3.47101662,-12.03058311,0.915013449
0.65,0.125031991,3.57892528,-12.79307316,0.894960307
0.66,0.120945112,3.68307596,-13.55042081,0.890900069
0.67,0.118546312,3.78385192,-14.30348212,0.897123381
0.68,0.117185504,3.88173613,-15.05414294,0.90976641
0.69,0.116467391,3.97719174,-15.80448948,0.926426291
0.7,0.116162463,4.07061471,-16.5564104,0.945705261
0.71,0.116141047,4.16232536,-17.31146366,0.966833651
