wl,n,k,eps_re,eps_im
0.3,1.61783946,1.92591542,-1.091745687,6.231643926
0.31,1.65423659,1.93079422,-0.991467624,6.387980893
0.32,1.68172004,1.92480464,-0.876690609,6.473965072
0.33,1.69212673,1.91224392,-0.793383939,6.471518103
0.34,1.68363206,1.8968735,-0.763512162,6.387274077
0.35,1.65736939,1.89665208,-0.850415818,6.286906202
0.36,1.63126096,1.92356822,-1.039102377,6.275683482
0.37,1.61569793,1.95201259,-1.199873351,6.307725402
0.38,1.60767985,1.97413747,-1.31258425,6.347562063
0.39,1.60518794,1.99180722,-1.390667679,6.394449857
0.4,1.59915947,1.99984804,-1.442081173,6.396151863
0.41,1.58698287,2.00174335,-1.48846181,6.353464813
0.42,1.56953206,2.00233117,-1.545899227,6.285445932
0.43,1.54514587,1.99683745,-1.599884042,6.170810278
0.44,1.51356155,1.9862035,-1.654135778,6.012482496
0.45,1.47044934,1.96776892,-1.709893261,5.787009019
0.46,1.41125099,1.94435033,-1.788868849,5.487932656
0.47,1.32913574,1.91877424,-1.915092769,5.100622839
0.48,1.21296262,1.9001494,-2.139289425,4.609620389
0.49,1.06656637,1.90987639,-2.510064003,4.074019857
0.5,0.906704742,1.96228634,-3.028454191,3.558428659
0.51,0.761291669,2.06346006,-3.678302414,3.141789906
0.52,0.639418671,2.19935212,-4.428293511,2.812613619
0.53,0.554638906,2.33304055,-5.135453892,2.587990117
0.54,0.487291101,2.46412886,-5.834478422,2.40149613
0.55,0.434403561,2.59213465,-6.53045559,2.252065045
0.56,0.391020095,2.71722435,-7.230411454,2.124978647
0.57,0.355549579,2.83576007,-7.915119671,2.016506598
0.58,0.325333725,2.95416074,-8.621223645,1.922176236
0.59,0.298993077,3.0684205,-9.325807505,1.834872974
0.6,0.277677889,3.18419893,-10.06201782,1.768363274
0.61,0.258734449,3.29545101,-10.79305384,1.705293403
0.62,0.24134197,3.40146254,-11.51170146,1.641831341
0.63,0.226579103,3.50765886,-12.25233259,1.589524396
0.64,0.215667805,3.6145369,-13.0183644,1.559078479
0.65,0.204666045,3.7188903,-13.78825687,1.522261139
0.66,0.19636131,3.82142006,-14.56469351,1.500758098
0.67,0.189107572,3.92236834,-15.34921172,1.483499107
0.68,0.184643121,4.02355566,-16.15490707,1.485843749
0.69,0.178887146,4.12044518,-16.94606787,1.474189357
0.7,0.17674719,4.21775367,-17.75820645,1.490952219
0.71,0.175831732,4.31214755,-18.56369969,1.516424745
0.72,0.175549525,4.40493828,-19.37266361,1.546569645
0.73,0.176358218,4.49879233,-20.20803021,1.586797997
0.74,0.1777416,4.58950938,-21.03200427,1.631493481
0.75,0.179043511,4.68265772,-21.89522674,1.676798958
0.76,0.180860178,4.7718728,-22.73805962,1.726083528
0.77,0.181949436,4.85748775,-23.56208164,1.767634313
0.78,0.185046347,4.94759841,-24.44448788,1.831070024
0.79,0.185339889,5.03345022,-25.30127024,1.86579821
0.8,0.187064345,5.11763898,-26.15523566,1.914655567
0.81,0.189520204,5.20375303,-27.04312769,1.972432672
0.82,0.195110208,5.29776872,-28.02828542,2.067297514
0.83,0.193744024,5.36890621,-28.78761714,2.080386987
0.84,0.197930018,5.45611436,-29.73000762,2.159857627
0.85,0.199790075,5.53437366,-30.58937573,2.211425857
0.86,0.205244053,5.62676185,-31.6183238,2.309718815
0.87,0.211010171,5.71407507,-32.60612861,2.411455915
0.88,0.21395881,5.79490053,-33.53509378,2.479740043
0.89,0.212656461,5.86492403,-34.35211111,2.494427977
0.9,0.216331153,5.94469408,-35.29258854,2.572045049
0.91,0.21935199,6.02396629,-36.24005457,2.642737987
0.92,0.22414654,6.1067325,-37.24194016,2.737605921
0.93,0.229797483,6.19229508,-38.29171147,2.845947647
0.94,0.232607781,6.26902542,-39.24657334,2.916448184
0.95,0.23704489,6.34934485,-40.25798974,3.010159503
0.96,0.240509086,6.4268699,-41.24681209,3.091441211
0.97,0.246718218,6.51125502,-42.33557206,3.212890471
0.98,0.250438281,6.58872086,-43.34852324,3.300135852
0.99,0.256576978,6.6715479,-44.44371964,3.423531198
1,0.25655369,6.7375508,-45.32877099,3.457087039
1.01,0.263584649,6.82234694,-46.4749409,3.596531847
1.02,0.2646218,6.88818953,-47.3771303,3.645530224
1.03,0.278585592,6.99872749,-48.90457655,3.899489282
1.04,0.283963428,7.07749835,-50.01034767,4.019501386
1.05,0.288391969,7.15927066,-51.17198646,4.129352324
1.06,0.290576756,7.22900595,-52.17409217,4.201162196
1.07,0.298268038,7.3147441,-53.41651743,4.363508742
1.08,0.305740907,7.3978619,-54.63488319,4.523658014
1.09,0.304288195,7.46163467,-55.58340064,4.540974691
1.1,0.310787119,7.54735399,-56.86596362,4.691240805
1.11,0.320585844,7.62961479,-58.10824656,4.891892994
1.12,0.323817758,7.69623412,-59.12716169,4.984354556
1.13,0.331362368,7.7764131,-60.36279968,5.153621319
1.14,0.335643765,7.8573744,-61.62567572,5.274557453
1.15,0.33826523,7.93288949,-62.81631229,5.366841376
1.16,0.343892181,8.01004551,-64.04256724,5.509184041
1.17,0.353740945,8.09674549,-65.43215487,5.728300802
1.18,0.354434494,8.16187979,-66.4906579,5.785703467
1.19,0.36030252,8.2383744,-67.74099485,5.936614114
1.2,0.367462172,8.31567714,-69.01545785,6.111393567
1.21,0.368502468,8.39484412,-70.33761373,6.187041553
1.22,0.379622097,8.46861541,-71.57333403,6.429747081
1.23,0.385832929,8.54408328,-72.85249205,6.593177355
1.24,0.391271341,8.62159475,-74.17880277,6.746765879
1.25,0.397540274,8.69773375,-75.49253412,6.915398916
1.26,0.406180459,8.78292039,-76.97470801,7.134901271
1.27,0.404675711,8.8452797,-78.07521054,7.158939703
1.28,0.410182453,8.91774497,-79.35792571,7.315805014
1.29,0.41846701,8.99823878,-80.7931865,7.530932155
1.3,0.427119383,9.07652745,-82.20091958,7.753521608
1.31,0.43347882,9.15066735,-83.54680906,7.93324097
1.32,0.438702623,9.22615887,-84.9295475,8.095080193
1.33,0.444799144,9.29992841,-86.29082215,8.273200392
1.34,0.453582764,9.37777243,-87.73687843,8.507191878
1.35,0.461846521,9.45103501,-89.10876055,8.729855278
1.36,0.469203894,9.52740543,-90.55130193,8.940591455
1.37,0.474751914,9.59985306,-91.93178939,9.115097229
1.38,0.481276075,9.67287427,-93.33286998,9.310645925
1.39,0.48886687,9.74728119,-94.77049978,9.530245693
1.4,0.492746002,9.8268533,-96.32424716,9.684285352
1.41,0.504031585,9.90114802,-97.77868428,9.98098266
1.42,0.510780248,9.97408648,-99.22150465,10.18913273
1.43,0.510288532,10.0403904,-100.549045,10.24699216
1.44,0.519775692,10.116375,-102.0708764,10.51649163
1.45,0.527035273,10.1898781,-103.5558495,10.74085037
1.46,0.532867313,10.2687343,-105.1629566,10.94374571
1.47,0.544649492,10.3476553,-106.7773271,11.27169041
1.48,0.547589218,10.4094155,-108.0560771,11.40016739
1.49,0.555481749,10.4799791,-109.521402,11.64287424
1.5,0.558814908,10.5633678,-111.2724652,11.80593481
1.51,0.57128982,10.6300872,-112.6723818,12.14572121
1.52,0.578929627,10.7110355,-114.391122,12.40187157
1.53,0.584512947,10.7752519,-115.7643981,12.59654849
1.54,0.593974095,10.8621738,-117.6340144,12.90369971
1.55,0.595768292,10.9226244,-118.9487839,13.01470657
1.56,0.604615236,11.0007124,-120.6501137,13.30239665
1.57,0.608956178,11.0750847,-122.2866735,13.4884825
1.58,0.618540012,11.1508136,-123.9580522,13.79444876
1.59,0.62976668,11.2207716,-125.5091092,14.13293616
1.6,0.643011418,11.2975389,-127.2209215,14.52889302
1.61,0.646509141,11.3684578,-128.8238587,14.69962377
1.62,0.654064212,11.4508738,-130.6947108,14.9792135
1.63,0.66001648,11.526675,-132.4286148,15.21559092
1.64,0.669719247,11.6016693,-134.1502067,15.53972246
1.65,0.676406022,11.6721402,-135.7813317,15.79021184
1.66,0.690263603,11.7392467,-137.3334492,16.20634945
1.67,0.698898482,11.8193879,-139.2094712,16.52110452
1.68,0.702935018,11.8848169,-140.7547551,16.70850796
1.69,0.705036798,11.9494043,-142.2911862,16.84953949
1.7,0.727437326,12.0213473,-143.9836258,17.48955347
1.71,0.725509695,12.0962452,-145.7927836,17.55188633
1.72,0.734958354,12.177221,-147.7445475,17.8995006
1.73,0.742519492,12.2437827,-149.3588796,18.18249462
1.74,0.748727421,12.309308,-150.9584707,18.43263287
1.75,0.753407718,12.378775,-152.6664473,18.65252925
1.76,0.760841931,12.4554859,-154.5602486,18.95331189
1.77,0.769842834,12.5281773,-156.3625685,19.28945503
1.78,0.777584532,12.6011156,-158.1834767,19.59686515
1.79,0.786724744,12.6721867,-159.9653799,19.93904567
1.8,0.795400415,12.7429019,-161.748887,20.27141892
1.81,0.809131832,12.8201888,-163.7025465,20.7464457
1.82,0.814552818,12.8898472,-165.4846645,20.99892272
1.83,0.82060085,12.9535926,-167.1221755,21.2594582
1.84,0.828590025,13.0232969,-168.9197007,21.58194781
1.85,0.838228471,13.0928779,-170.7208247,21.94964605
1.86,0.844166212,13.1557882,-172.3621466,22.21134378
1.87,0.852370186,13.2310206,-174.3333712,22.55545498
1.88,0.864016715,13.3065992,-176.3190574,22.99424826
1.89,0.870248673,13.3677447,-177.9392656,23.26652417
1.9,0.888674006,13.4665863,-180.5592051,23.93481039
1.91,0.900940666,13.5411184,-182.5501934,24.39948846
1.92,0.911992415,13.6112341,-184.4339636,24.82668452
1.93,0.918093169,13.685776,-186.4575697,25.12963492
1.94,0.926388921,13.7622216,-188.5405469,25.49833924
1.95,0.93614448,13.834178,-190.5081144,25.90157874
1.96,0.942111589,13.9061232,-192.4926882,26.20223965
1.97,0.950296795,13.9809941,-194.565132,26.57218777
1.98,0.960693627,14.0482626,-196.4307498,26.9921527
1.99,0.972762005,14.1252331,-198.5759442,27.48098014
2,0.982293583,14.1969217,-200.5876851,27.89109017
