wl,n,k,eps_re,eps_im
0.2066,1.243,1.151,0.220248,2.861386
0.2101,1.235,1.182,0.128101,2.91954
0.2138,1.231,1.21,0.051261,2.97902
0.2175,1.225,1.245,-0.0494,3.05025
0.2214,1.227,1.279,-0.130312,3.138666
0.2254,1.228,1.311,-0.210737,3.219816
0.2296,1.226,1.346,-0.30864,3.300392
0.2339,1.228,1.381,-0.399177,3.391736
0.2384,1.23,1.415,-0.489325,3.4809
0.2431,1.231,1.458,-0.610403,3.589596
0.248,1.235,1.502,-0.730779,3.70994
0.253,1.248,1.555,-0.860521,3.88128
0.2583,1.266,1.607,-0.979693,4.068924
0.2638,1.291,1.657,-1.078968,4.278374
0.2695,1.321,1.71,-1.179059,4.51782
0.2755,1.374,1.757,-1.199173,4.828236
0.2818,1.427,1.78,-1.132071,5.08012
0.2883,1.473,1.792,-1.041535,5.279232
0.2952,1.504,1.798,-0.970788,5.408384
0.3024,1.536,1.813,-0.927673,5.569536
0.31,1.571,1.83,-0.880859,5.74986
0.3179,1.615,1.83,-0.740675,5.9109
0.3263,1.655,1.816,-0.558831,6.01096
0.3351,1.668,1.778,-0.37906,5.931408
0.3444,1.642,1.751,-0.369837,5.750284
0.3542,1.61,1.755,-0.487925,5.6511
0.3647,1.59,1.78,-0.6403,5.6604
0.3757,1.576,1.801,-0.759825,5.676752
0.3875,1.568,1.824,-0.868352,5.720064
0.3999,1.569,1.839,-0.92016,5.770782
0.4133,1.559,1.825,-0.900144,5.69035
0.4275,1.53,1.811,-0.938821,5.54166
0.4428,1.486,1.797,-1.021013,5.340684
0.4592,1.457,1.736,-0.890847,5.058704
0.4769,1.266,1.56,-0.830844,3.94992
0.4959,0.8564,1.629,-1.92022004,2.7901512
0.5166,0.502,1.853,-3.181605,1.860412
0.5391,0.329,2.249,-4.94976,1.479842
0.5636,0.2452,2.569,-6.53963796,1.2598376
0.5904,0.1823,2.88,-8.26116671,1.050048
0.6199,0.1357,3.204,-10.24720151,0.8695656
0.6525,0.1091,3.529,-12.44193819,0.7700278
0.6888,0.08524,3.871,-14.97737514,0.65992808
0.7293,0.07661,4.242,-17.98869491,0.64995924
0.7749,0.07883,4.63,-21.43068583,0.7299658
0.8266,0.08019,5.05,-25.49606956,0.809919
0.8856,0.087,5.517,-30.42972,0.959958
0.9537,0.0944,6.038,-36.44853264,1.1399744
1.033,0.1018,6.633,-43.98632576,1.3504788
1.127,0.1098,7.332,-53.74616796,1.6101072
1.24,0.1351,8.142,-66.27391199,2.1999684
1.305,0.1324,8.613,-74.16623924,2.2807224
1.378,0.1488,9.141,-83.53573956,2.7203616
1.459,0.1677,9.72,-94.45027671,3.260088
1.55,0.1898,10.35,-107.086476,3.92886
1.653,0.1864,11.08,-122.731655,4.130624
1.771,0.2159,11.93,-142.2782872,5.151374
1.907,0.2514,12.89,-166.088898,6.481092
2.066,0.2965,14,-195.9120878,8.302
2.254,0.3542,15.3,-233.9645424,10.83852
2.48,0.4296,16.86,-284.0750438,14.486112
2.755,0.5293,18.72,-350.1582415,19.816992
3.1,0.5591,21.09,-444.4755072,23.582838
3.542,0.7358,24.2,-585.0985984,35.61272
4.133,1.004,28.27,-798.184884,56.76616
4.959,1.448,33.95,-1150.505796,98.3192
6.199,2.264,42.43,-1795.179204,192.12304
8.266,4.018,56.47,-3172.716576,453.79292
12.4,8.964,84.09,-6990.774804,1507.56552
