K. M. McPeak, S. V. Jayanti, S. J. P. Kress, S. Meyer, S. Iotti, A. Rossinelli, and D. J. Norris. Plasmonic films can easily be better: Rules and recipes, ACS Photonics 2, 326-333 (2015)
wl,n,k,eps_re,eps_im
0.3,1.699838715,1.973157788,-1.003899999,6.708099998
0.31,1.746948702,1.974499878,-0.846820001,6.898699998
0.32,1.782941044,1.959795593,-0.66192,6.988400001
0.33,1.804652963,1.931950392,-0.47566,6.972999999
0.34,1.804621334,1.896796816,-0.341180002,6.846000001
0.35,1.763712432,1.870684779,-0.38878,6.598700002
0.36,1.713434851,1.887670254,-0.627439999,6.468800001
0.37,1.689202065,1.922090949,-0.84103,6.4936
0.38,1.678059067,1.948381952,-0.980309999,6.539000001
0.39,1.672504217,1.966512231,-1.069899999,6.577999998
0.4,1.665616091,1.973924254,-1.122099998,6.5756
0.41,1.653911114,1.975227068,-1.166099997,6.533700001
0.42,1.63743714,1.970304643,-1.200899999,6.452499999
0.43,1.612343317,1.959477219,-1.2399,6.318699998
0.44,1.581523054,1.940313163,-1.2636,6.137299999
0.45,1.538326354,1.910745397,-1.284500001,5.8787
0.46,1.475285274,1.872315849,-1.329099999,5.524400001
0.47,1.386263242,1.827683172,-1.418700001,5.067299999
0.48,1.252905499,1.782097694,-1.606100002,4.465600001
0.49,1.064360219,1.76786953,-1.992499999,3.7633
0.5,0.848474841,1.828280492,-2.622700002,3.1025
0.51,0.661635502,1.964525779,-3.421599999,2.5996
0.52,0.52912664,2.129735899,-4.255799998,2.253800001
0.53,0.438041087,2.294990195,-5.075100001,2.010599999
0.54,0.372502061,2.451664289,-5.871900001,1.826500001
0.55,0.323930966,2.597158307,-6.640300001,1.682599998
0.56,0.284960267,2.738978341,-7.420799999,1.560999999
0.57,0.254069233,2.871855006,-8.183,1.459299997
0.58,0.228936734,2.999518633,-8.944700002,1.373399999
0.59,0.207122197,3.1213458,-9.699899999,1.292999999
0.6,0.188789629,3.241703491,-10.473,1.223999999
0.61,0.172726107,3.356759495,-11.238,1.159599999
0.62,0.160071695,3.465634566,-11.985,1.109499998
0.63,0.14636792,3.577628204,-12.778,1.047299998
0.64,0.135417727,3.685964997,-13.568,0.998290003
0.65,0.125499436,3.792327795,-14.366,0.951869999
0.66,0.117832095,3.896137113,-15.166,0.918179997
0.67,0.111117685,3.999543366,-15.984,0.88884
0.68,0.105744888,4.102704228,-16.821,0.867679998
0.69,0.101509306,4.205033191,-17.672,0.853700002
0.7,0.098607898,4.305081128,-18.524,0.849030002
0.71,0.097790271,4.403812319,-19.384,0.8613
0.72,0.098623269,4.499191766,-20.233,0.88745
0.73,0.096903666,4.59580138,-21.112,0.890700004
0.74,0.099463321,4.687205239,-21.96,0.932409999
0.75,0.098537395,4.78107829,-22.849,0.94223
0.76,0.099206649,4.872354868,-23.73,0.966739998
0.77,0.101706737,4.958865219,-24.58,1.008700001
0.78,0.101315225,5.051560628,-25.508,1.023600003
