Wl,n,k,eps_re,eps_im
0.2883,1.742,1.9,-0.575436,6.6196
0.2952,1.776,1.918,-0.524548,6.812736
0.3024,1.812,1.92,-0.403056,6.95808
0.31,1.83,1.916,-0.322156,7.01256
0.3179,1.84,1.904,-0.239616,7.00672
0.3263,1.824,1.878,-0.199908,6.850944
0.3351,1.798,1.86,-0.226796,6.68856
0.3444,1.766,1.846,-0.28896,6.520072
0.3542,1.74,1.848,-0.387504,6.43104
0.3647,1.716,1.862,-0.522388,6.390384
0.3757,1.696,1.906,-0.75642,6.465152
0.3875,1.674,1.936,-0.94582,6.481728
0.4,1.658,1.956,-1.076972,6.486096
0.4133,1.636,1.958,-1.157268,6.406576
0.4275,1.616,1.94,-1.152144,6.27008
0.4428,1.562,1.904,-1.185372,5.948096
0.4592,1.426,1.846,-1.37424,5.264792
0.4769,1.242,1.796,-1.683052,4.461264
0.4959,0.916,1.84,-2.546544,3.37088
0.5166,0.608,2.12,-4.124736,2.57792
0.5391,0.402,2.54,-6.289996,2.04216
0.5636,0.306,2.88,-8.200764,1.76256
0.6526,0.166,3.7,-13.662444,1.2284
0.6888,0.16,4.07,-16.5393,1.3024
0.7293,0.164,4.5,-20.223104,1.476
0.7749,0.174,4.96,-24.571324,1.72608
0.8266,0.188,5.39,-29.016756,2.02664
0.8856,0.21,5.88,-34.5303,2.4696
0.9537,0.236,6.47,-41.805204,3.05384
1.033,0.272,7.07,-49.910916,3.84608
1.127,0.312,7.93,-62.787556,4.94832
1.24,0.372,8.77,-76.774516,6.52488
1.265,0.389,8.09,-65.296779,6.29402
1.291,0.403,8.25,-67.900091,6.6495
1.319,0.419,8.42,-70.720839,7.05596
1.384,0.436,8.59,-73.598004,7.49048
1.378,0.454,8.77,-76.706784,7.96316
1.409,0.473,8.96,-80.057871,8.47616
1.442,0.493,9.15,-83.479451,9.0219
1.476,0.515,9.36,-87.344375,9.6408
1.512,0.537,9.58,-91.488031,10.28892
1.55,0.559,9.81,-95.923619,10.96758
1.59,0.583,10.1,-101.670111,11.7766
1.631,0.609,10.3,-105.719119,12.5454
1.675,0.636,10.6,-111.955504,13.4832
1.722,0.665,10.9,-118.367775,14.497
1.771,0.696,11.2,-124.955584,15.5904
1.823,0.73,11.5,-131.7171,16.79
1.879,0.767,11.9,-141.021711,18.2546
